 Procedimentos hospitalares do SUS - por local de internação - Ceará
Valor médio intern por Município e Ano/mês atendimento
Período:Jan/2008-Mar/2021
"Município";"2007/Jan";"2007/Fev";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"230710 Jardim";...;...;...;...;...;...;528,90;375,88;401,20;388,82;380,88;392,41;434,57;419,94;411,68;416,94;434,22;422,76;445,48;458,91;459,94;455,81;446,46;472,67;465,63;423,67;415,43;475,54;480,14;477,81;402,01;429,87;422,77;443,09;445,02;426,15;439,01;445,48;444,33;463,80;490,99;469,47;460,32;476,47;405,09;440,99;488,47;484,90;476,91;433,23;494,88;464,29;478,06;490,37;477,70;451,23;462,61;464,16;457,84;444,84;469,14;478,00;472,68;491,36;466,60;461,84;455,67;477,64;464,98;403,06;459,01;459,08;463,53;466,79;437,01;463,44;433,94;417,30;437,87;417,11;427,09;420,85;405,36;411,16;377,58;421,37;407,09;407,86;439,66;408,94;439,43;438,97;428,12;388,30;414,43;417,72;428,42;420,00;445,41;417,58;415,76;435,54;421,84;477,69;430,11;453,58;452,03;469,45;495,01;494,87;455,69;480,66;486,51;415,00;397,09;424,67;401,06;361,06;371,83;353,14;415,13;433,17;327,99;352,17;377,20;317,79;368,20;368,29;368,37;488,76;326,81;503,87;316,80;433,00;437,19;388,76;377,77;411,79;370,45;401,51;454,38;458,04;446,19;495,31;527,32;500,01;455,73;376,41;416,67;492,54;426,59;488,46;466,29;408,35;494,33;496,11;394,02;473,91;625,32;651,69;644,99;554,01;635,33;764,07;565,79;584,73;...;445,53
"230720 Jati";...;...;...;...;...;...;...;318,67;332,63;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;398,06;509,77;437,72;448,25;...;411,24;443,06;439,22;448,54;469,06;418,28;457,01;412,72;428,03;413,83;392,44;470,39;432,74;366,22;419,56;432,65;441,62;...;288,59;398,17;...;491,49;324,90;...;228,97;255,62;301,95;248,41;289,90;274,42;272,65;260,96;266,03;402,94;329,08;259,39;266,65;198,53;303,96;315,80;341,25;285,36;...;...;...;120,65;...;44,22;85,63;582,42;479,19;582,42;582,42;384,24;...;...;...;...;...;...;...;287,65;198,81;630,42;865,91;...;...;367,30;...;349,24;...;...;44,22;207,40;339,10;378,43;390,28;500,18;52,22;416,81;...;436,25;181,78;299,47;437,80;269,94;223,86;199,12;313,11;422,34;385,02;388,41;347,95;546,49;244,67;568,14;370,44;446,82;508,20;376,47;410,33;465,50;521,24;424,99;310,32;323,25;317,74;237,89;200,78;605,28;327,74;301,74;509,82;617,00;393,46;199,33;...;...;...;598,42;393,46;582,42;448,96;383,63
"230725 Jijoca de Jericoacoara";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;501,55;400,63;...;426,86;...;...;...;442,77;546,47;...;...;...;467,92
"230730 Juazeiro do Norte";...;...;...;892,74;580,33;548,83;888,64;629,85;498,59;563,97;504,23;517,61;562,37;552,38;561,22;522,43;569,34;518,93;618,28;625,35;622,74;604,43;649,92;639,28;656,76;626,46;669,63;674,37;653,98;654,73;666,99;627,22;685,93;604,08;654,38;646,12;660,08;666,46;719,20;642,04;694,66;691,34;692,33;617,67;666,26;680,41;646,40;714,60;713,56;674,54;635,54;720,55;649,64;712,94;710,82;651,75;642,56;706,95;624,18;699,87;698,65;651,84;675,29;751,10;672,85;653,88;685,46;769,21;696,20;808,15;719,79;718,43;736,45;653,27;667,75;832,87;672,33;735,43;689,95;786,44;672,09;789,44;816,45;850,51;879,06;826,86;847,89;987,47;848,33;835,32;815,83;874,68;804,33;844,81;708,45;756,90;760,86;788,68;722,81;735,17;1118,98;1174,66;1036,13;1157,12;1139,35;987,27;1036,29;1014,67;1013,20;1012,59;1052,26;1090,53;1061,32;963,69;991,51;964,22;1239,20;1267,72;986,26;1051,04;1069,53;1134,10;1289,42;1191,22;1211,50;1141,05;1115,52;1073,01;1122,56;1071,79;1039,12;1014,92;1177,35;1052,88;1100,06;1298,41;1155,07;1128,44;1040,81;1068,29;1181,69;1195,41;1264,07;1316,82;1215,67;1272,19;1315,19;1208,86;1178,00;1231,99;1140,04;1156,18;1295,79;1216,60;1329,26;1276,61;1491,06;1580,46;1680,32;1530,33;1782,00;1753,54;1615,18;1721,27;1829,43;1132,25;826,62;939,99
"230740 Jucás";...;...;...;...;288,78;319,36;367,45;386,75;367,57;361,59;367,64;387,80;376,78;366,59;418,74;372,79;381,43;375,72;373,72;399,19;411,00;424,99;410,63;426,51;446,51;455,55;450,66;466,63;432,31;412,05;422,86;421,15;414,98;468,88;463,29;488,50;463,92;467,39;470,24;467,59;421,05;439,62;462,90;430,31;428,51;432,11;396,86;442,09;493,46;473,90;439,06;475,14;445,49;427,09;460,66;388,18;420,90;422,85;449,66;473,50;461,97;490,42;463,87;478,50;466,46;446,44;462,66;391,22;374,19;388,57;362,06;370,27;359,31;397,12;407,28;470,21;...;388,99;390,68;418,10;424,88;441,29;420,47;391,92;440,22;412,25;396,83;417,38;415,77;401,98;402,75;362,74;369,91;359,28;414,86;429,78;388,25;400,82;401,80;402,85;399,42;403,93;435,55;429,45;440,17;400,46;427,42;438,58;453,12;437,67;447,95;461,29;305,20;412,59;404,27;452,63;461,47;390,54;487,69;439,71;434,22;309,79;476,46;479,48;452,52;520,42;469,01;404,31;437,94;463,84;445,37;458,90;402,04;415,71;477,07;421,96;513,10;457,02;428,57;480,35;460,25;529,71;485,36;477,70;517,87;502,15;447,52;471,57;510,12;547,88;558,66;493,42;511,76;556,90;517,68;558,18;552,21;607,34;731,12;921,43;536,10;707,48;453,79;355,75;506,37;555,10;611,81;435,23
"230750 Lavras da Mangabeira";...;...;...;...;...;436,38;337,45;397,62;389,70;383,75;395,75;405,82;417,39;450,07;438,85;432,49;419,25;410,85;432,72;437,38;460,81;410,82;426,70;488,57;500,47;462,83;484,72;479,30;486,58;460,48;445,35;455,67;462,33;421,17;444,24;468,73;467,90;488,78;440,80;447,97;465,42;469,66;442,55;434,08;422,87;446,63;459,50;496,44;476,34;495,38;461,05;454,48;446,88;444,14;462,68;466,60;480,03;443,96;478,51;490,63;451,86;470,18;436,26;430,98;443,85;439,23;434,82;443,19;416,87;413,47;420,52;476,75;489,28;474,89;472,58;482,96;440,96;434,00;446,27;426,37;426,80;440,89;426,46;430,17;485,88;487,45;464,88;437,82;444,37;427,38;403,73;438,11;416,27;435,08;440,10;475,56;459,14;438,69;427,23;420,66;439,26;437,21;437,45;444,27;383,08;390,46;419,36;428,48;442,53;454,38;443,49;415,48;417,98;402,81;403,08;397,30;419,03;395,22;486,88;469,95;421,17;443,70;458,73;429,41;455,02;416,84;419,61;406,73;423,53;421,56;460,77;478,48;483,74;478,01;447,48;469,34;439,47;414,26;423,61;415,27;423,51;474,81;476,34;472,18;498,68;473,65;427,95;470,38;462,07;435,09;409,04;429,98;430,09;432,48;438,31;647,78;474,35;312,98;471,00;498,01;469,62;729,07;715,89;868,63;773,92;775,47;817,61;450,48
"230760 Limoeiro do Norte";...;...;...;428,29;578,69;136,89;164,07;396,72;393,31;404,86;422,25;431,43;459,56;422,70;413,70;392,54;394,54;451,67;448,19;453,75;455,71;453,54;460,27;462,97;498,99;472,12;455,36;450,60;450,38;434,72;445,14;449,17;496,17;464,00;444,65;402,86;438,01;462,04;459,22;442,41;439,57;437,27;415,64;454,67;410,47;439,60;428,75;460,54;449,22;507,39;496,56;530,60;489,19;462,57;452,71;446,90;495,15;515,94;469,67;476,17;429,53;475,68;465,47;454,26;488,19;481,06;446,23;450,90;492,65;443,27;459,24;466,02;439,45;474,52;471,89;469,11;439,72;409,84;443,41;457,12;484,14;435,56;435,40;446,23;433,30;432,98;431,86;422,32;428,51;412,13;427,83;409,03;406,77;386,93;370,06;409,65;418,58;450,18;436,45;457,52;437,38;433,04;420,50;410,10;388,10;356,04;405,04;394,28;375,10;414,79;422,91;408,00;399,43;405,62;373,50;375,75;387,69;418,71;380,66;419,59;421,52;422,08;432,17;421,50;423,11;370,69;319,45;327,11;217,90;209,28;344,95;341,85;368,39;347,81;351,44;345,22;333,77;319,58;374,64;342,87;326,75;340,92;367,56;343,16;351,36;347,22;331,04;350,03;346,31;334,54;368,97;335,46;334,16;349,19;343,37;435,50;595,38;567,20;660,08;1118,81;900,21;704,44;1192,36;1176,72;1185,05;12963,02;10782,50;450,42
"230763 Madalena";...;...;...;...;...;...;...;435,09;299,35;137,03;411,09;424,75;402,88;411,09;411,09;411,09;411,09;369,53;411,09;451,40;451,40;451,40;451,40;440,87;432,24;451,40;493,52;369,14;440,06;451,40;451,40;477,60;451,40;451,40;451,40;464,50;451,40;451,40;371,56;399,42;431,29;369,26;451,40;439,20;455,37;407,53;403,57;417,02;419,50;314,49;359,19;382,80;379,03;351,47;346,55;389,78;350,10;373,30;393,16;382,91;371,91;381,81;422,15;396,97;459,34;393,58;462,69;392,66;330,00;326,60;325,52;363,48;421,74;408,63;368,79;419,57;392,86;339,08;387,97;308,28;361,74;392,56;357,70;371,38;430,96;395,32;446,75;405,98;281,36;366,16;316,82;374,67;358,40;301,19;337,20;381,01;412,78;351,65;364,55;331,30;380,08;302,69;302,83;365,03;314,81;406,68;416,53;378,14;367,61;346,54;349,51;330,54;451,40;324,08;355,61;343,90;452,53;290,00;328,42;338,00;370,66;498,03;422,54;287,76;520,30;685,57;392,32;303,83;451,40;620,54;329,08;346,29;415,20;566,23;399,50;482,16;369,10;392,33;414,61;366,18;335,79;401,40;317,23;293,71;449,51;393,22;329,82;357,63;377,31;413,98;331,28;343,64;388,21;429,04;349,75;490,11;358,97;277,90;960,06;348,39;350,59;356,91;377,87;...;...;...;...;388,09
"230765 Maracanaú";...;...;...;456,04;365,48;473,09;550,18;523,47;455,59;458,36;450,55;476,06;480,89;478,21;481,52;455,43;455,52;452,95;485,80;538,26;518,32;528,24;523,99;535,13;527,14;517,65;516,72;510,58;522,55;519,04;523,64;516,44;518,50;523,11;529,11;533,37;536,73;531,69;542,58;548,11;542,53;543,21;526,40;552,13;550,37;529,13;538,82;536,43;526,94;526,57;555,91;539,56;545,37;550,68;527,54;561,58;564,22;544,33;530,15;542,81;529,66;544,81;534,29;551,33;544,17;558,87;536,36;570,87;550,42;573,29;559,59;571,00;580,28;535,28;549,37;550,44;554,00;525,00;533,18;515,95;527,79;540,99;546,79;524,13;556,94;527,22;526,78;530,38;540,42;547,46;541,00;518,00;538,74;529,97;522,80;538,52;542,32;547,31;546,82;558,28;543,60;577,52;541,24;554,63;556,99;535,87;556,06;581,38;577,64;574,11;563,10;545,89;565,59;565,28;579,48;577,24;547,01;546,92;537,52;561,61;556,43;558,38;529,10;538,84;528,02;564,14;562,33;537,42;561,93;566,02;537,82;550,21;563,04;553,13;556,49;567,23;550,26;541,38;546,03;539,33;541,80;556,81;549,87;563,51;590,78;591,32;572,58;576,63;555,71;551,63;557,60;574,37;544,06;546,41;540,51;552,37;922,02;904,15;661,06;648,72;624,87;583,58;586,00;720,25;684,67;783,16;...;552,84
"230770 Maranguape";...;...;...;...;...;629,18;640,74;399,88;410,65;439,17;407,48;408,74;409,01;396,79;395,43;401,29;394,53;401,05;397,08;424,89;414,81;435,14;421,01;432,80;428,89;452,29;435,18;435,98;445,87;427,42;443,61;453,08;449,88;464,53;440,78;442,04;451,07;448,50;450,00;454,86;449,40;468,80;509,22;465,27;474,78;457,64;449,59;470,72;472,67;468,35;463,52;440,65;429,36;463,13;450,70;476,01;437,04;422,65;449,44;424,13;449,54;440,33;439,34;421,13;454,47;422,35;401,18;401,79;458,67;456,01;451,50;468,39;433,62;419,55;422,01;436,51;413,72;411,85;410,49;398,70;439,28;416,64;424,18;430,66;423,25;432,60;437,30;424,75;411,02;421,32;433,36;353,08;402,62;399,49;392,37;388,32;399,64;416,78;382,83;398,56;389,29;408,66;421,65;382,41;401,84;405,81;399,95;436,37;397,66;427,98;437,21;443,73;420,48;429,20;394,81;397,55;370,94;411,39;400,24;381,19;400,85;404,12;412,65;424,87;379,85;376,43;374,46;399,07;395,86;399,14;390,45;397,57;395,15;385,06;404,43;412,28;430,14;404,53;390,58;406,41;406,96;415,77;409,44;421,13;398,73;370,73;426,66;395,33;420,45;388,94;417,23;444,02;407,64;397,43;381,38;410,85;700,62;629,49;486,67;398,55;405,90;484,62;425,72;371,78;1559,46;1959,45;2127,96;445,50
"230780 Marco";...;...;...;...;...;...;...;...;387,23;374,78;412,76;385,17;417,77;407,75;423,74;424,01;373,19;411,64;444,69;453,55;389,93;383,39;415,81;453,85;441,33;415,88;437,52;417,47;442,52;488,49;452,59;487,91;457,94;429,01;456,32;403,85;440,58;434,32;435,53;392,37;393,73;444,56;432,58;403,43;392,40;386,70;452,17;450,10;432,12;413,24;404,06;417,03;431,31;426,38;412,48;435,90;447,03;445,26;437,17;463,68;448,34;420,29;451,12;448,45;389,61;478,97;470,72;472,75;459,21;473,56;477,97;478,62;464,06;439,61;483,40;469,09;464,73;464,58;447,64;445,50;410,17;443,02;455,81;443,98;454,07;427,47;395,28;437,35;443,38;417,24;412,81;416,16;421,41;441,89;401,00;437,21;459,48;415,28;451,26;371,95;439,14;438,69;422,39;451,79;389,76;397,34;404,40;388,96;377,45;372,31;399,16;377,83;361,50;410,48;401,02;314,50;380,84;351,25;439,27;399,93;425,72;399,41;430,55;394,94;405,48;390,62;389,38;388,85;429,81;415,30;416,91;424,96;378,83;404,38;415,57;401,59;384,97;375,06;435,97;426,62;386,75;411,57;446,78;436,79;401,67;382,33;420,43;402,22;478,87;440,43;424,85;448,97;380,37;435,40;390,80;507,81;873,74;743,49;634,38;873,81;599,75;613,75;573,80;559,14;642,49;619,96;...;437,40
"230790 Martinópole";...;...;...;...;...;...;436,74;302,12;307,26;315,43;298,06;358,15;351,22;367,72;374,08;318,22;351,44;347,67;304,63;358,32;367,84;329,67;346,44;413,96;328,05;376,58;423,31;316,00;369,41;418,64;415,73;...;366,32;358,58;471,62;377,94;460,04;420,00;402,38;370,36;356,85;392,51;410,36;357,32;390,22;409,34;444,38;373,79;452,22;400,27;406,38;449,06;378,04;466,06;426,51;398,73;363,98;...;363,36;381,89;455,30;371,03;461,12;420,77;377,19;...;...;...;377,27;319,06;346,25;...;...;302,63;218,68;...;...;...;...;...;...;...;...;...;...;...;...;263,25;385,07;292,13;416,03;387,31;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;399,35;325,80;225,88;235,43;384,15;414,76;290,74;382,54;501,90;369,44;365,07;465,41;270,18;414,14;331,04;443,40;443,40;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;366,82
"230800 Massapê";...;...;...;...;...;...;453,09;257,05;386,11;372,81;391,63;347,99;348,28;357,34;411,76;365,50;397,94;357,06;386,44;426,45;415,60;387,78;410,39;439,16;425,55;398,49;401,28;390,99;381,60;403,21;363,01;366,43;425,81;407,82;389,49;417,08;443,17;373,39;435,29;375,09;371,18;307,97;352,12;377,61;352,68;368,46;396,25;401,98;392,19;383,15;384,22;381,31;395,93;350,89;397,78;396,26;394,32;371,64;396,56;369,81;376,34;361,16;347,05;301,37;420,26;...;493,40;...;292,62;...;347,15;204,50;...;...;...;...;...;...;...;...;...;...;...;408,40;392,71;325,43;291,45;314,20;406,80;307,99;400,06;444,06;393,15;428,33;363,01;475,88;506,39;342,49;338,37;414,35;423,52;414,61;382,43;340,24;430,45;446,90;475,05;490,52;530,13;411,39;506,69;517,76;446,40;482,62;269,12;315,83;172,60;291,65;369,52;369,15;456,65;427,69;371,47;365,97;415,42;438,88;384,23;430,00;453,16;410,82;394,26;407,87;493,48;524,54;436,54;449,36;416,72;443,68;388,33;503,06;371,48;447,76;493,43;529,91;458,35;465,00;437,69;397,87;476,58;369,75;424,58;413,18;409,05;462,76;445,49;520,44;561,99;903,50;398,62;936,64;600,21;412,78;505,07;596,29;482,06;453,85;...;407,98
"230810 Mauriti";...;...;...;...;...;...;...;345,86;380,70;377,50;364,71;411,84;398,00;401,52;388,63;356,69;363,05;360,85;381,47;411,11;416,34;435,07;442,44;437,87;443,02;408,76;437,50;422,07;440,31;397,46;379,58;378,79;381,48;382,86;366,41;425,01;410,23;424,87;408,03;394,14;400,85;410,82;432,10;407,22;385,33;395,93;420,56;430,04;419,64;405,90;420,08;389,89;390,67;412,48;413,87;390,94;432,03;428,74;415,18;410,45;409,98;418,30;406,38;397,11;408,15;390,86;414,47;416,54;415,65;403,73;447,44;411,20;433,47;411,65;410,96;414,01;431,32;420,45;437,68;414,64;416,94;431,90;442,99;438,34;427,72;423,59;423,56;437,11;456,50;429,09;440,38;406,22;451,40;449,22;448,52;474,61;449,81;465,03;447,02;455,09;466,78;444,23;479,46;429,18;458,99;434,65;461,42;457,11;458,26;451,50;468,35;467,63;471,92;427,89;424,11;459,86;406,40;398,50;458,85;475,67;463,04;464,18;437,90;418,20;410,56;427,09;433,86;441,95;448,27;431,33;435,44;438,48;467,19;451,07;492,46;466,24;434,69;409,38;453,95;427,39;442,09;436,71;407,75;433,71;434,53;422,34;423,41;426,82;459,25;419,76;422,03;331,86;405,29;373,25;397,62;479,86;553,64;523,38;589,47;748,14;611,51;847,78;578,94;622,36;549,57;611,76;703,41;426,67
"230820 Meruoca";...;...;...;...;...;241,67;...;332,62;334,70;366,04;355,22;371,19;371,49;368,03;359,89;268,35;358,67;359,86;327,60;418,45;405,69;321,19;414,73;508,75;399,54;341,33;371,68;421,99;410,52;430,70;337,80;321,32;339,39;371,14;357,91;291,12;397,74;358,75;342,03;365,87;345,10;345,28;387,57;358,28;368,77;364,86;350,89;315,81;335,12;273,33;295,00;336,81;323,05;384,82;315,19;277,13;376,39;335,99;287,11;319,96;333,72;267,27;432,85;212,66;268,38;313,06;279,16;349,52;582,42;590,42;394,65;390,36;398,64;446,25;434,96;402,80;303,01;377,51;405,78;266,92;409,30;341,69;336,42;344,51;391,22;393,67;440,88;375,42;233,87;539,81;463,85;336,81;251,73;370,27;261,73;395,54;459,54;413,92;390,23;341,49;392,05;544,75;350,72;421,78;336,76;489,36;585,17;395,29;413,23;326,57;457,52;412,86;525,82;668,94;234,68;324,62;352,63;473,01;431,90;498,37;461,21;433,24;381,87;347,29;529,71;441,73;381,96;364,69;478,92;455,25;401,61;445,64;455,92;465,05;461,81;410,44;403,61;344,68;574,38;417,63;553,51;402,95;...;434,02;439,09;511,37;508,85;405,55;488,51;421,60;376,11;459,43;400,28;405,33;507,19;408,67;427,78;767,83;565,00;359,89;618,49;431,82;484,32;482,43;378,78;...;...;383,96
"230830 Milagres";...;...;...;...;...;...;233,89;263,92;321,73;335,07;339,39;374,72;377,55;380,15;355,78;346,96;360,32;358,22;353,34;396,59;409,32;417,91;396,44;438,16;401,04;421,72;434,27;431,24;403,22;411,48;438,25;428,19;409,74;440,34;415,10;441,14;428,83;428,29;465,60;427,53;448,70;450,20;446,50;390,01;426,07;464,53;458,90;448,64;441,19;473,90;475,64;485,76;448,81;475,59;410,30;472,00;409,51;462,40;413,35;407,24;433,76;468,47;436,35;447,83;415,32;469,56;458,56;440,90;399,81;426,59;437,49;500,18;484,01;509,09;429,14;439,53;496,37;447,32;408,06;402,83;461,30;432,31;507,34;462,74;502,26;493,80;467,34;543,15;472,28;403,05;486,71;483,08;472,05;524,42;512,93;495,99;518,24;519,38;559,99;468,02;392,88;520,26;460,03;391,79;400,52;440,51;530,30;483,01;521,05;539,02;454,02;533,97;484,54;406,89;402,88;187,37;347,84;402,86;423,77;350,88;313,34;378,76;328,54;377,77;443,85;437,50;421,44;454,59;438,24;447,59;439,84;449,43;493,83;474,69;491,34;506,66;481,72;466,12;461,15;481,55;480,39;483,27;478,93;512,02;501,36;462,04;479,56;423,40;460,40;463,28;464,90;476,75;512,89;478,38;480,07;522,45;470,15;385,90;503,34;723,14;523,49;673,26;558,12;547,43;798,31;767,80;813,95;440,50
"230835 Milhã";...;...;...;...;...;230,14;382,02;305,75;311,17;379,05;367,82;361,69;363,77;371,52;306,19;349,69;...;311,09;...;491,40;369,99;446,51;...;426,33;373,94;283,95;421,07;487,29;383,36;358,16;431,99;317,89;429,79;443,58;491,40;395,18;404,11;387,27;279,45;439,17;409,48;377,25;444,66;383,30;414,53;301,97;356,89;430,56;364,98;370,54;409,58;360,89;306,30;368,00;436,47;398,79;376,89;352,56;325,65;373,94;337,36;354,06;391,03;436,46;368,17;553,55;480,25;316,76;352,27;487,40;467,40;474,00;438,58;418,26;410,45;457,40;537,41;384,75;438,90;443,64;414,30;357,27;314,63;442,45;470,53;476,68;186,06;306,42;421,18;377,04;...;433,35;186,06;449,58;382,11;411,20;402,60;386,95;496,73;560,75;492,50;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;309,05;419,94;408,66;468,79;...;...;372,39;465,81;467,56;392,91;332,24;316,96;323,16;384,79;374,42;389,22;461,39;469,53;420,00;453,85;456,58;495,04;394,97;383,53;429,50;374,46;527,31;520,95;361,38;376,46;406,65;419,45;381,79;321,56;402,01;326,67;347,11;273,88;464,38;441,96;454,68;435,94;387,66;668,80;1037,51;770,94;849,18;390,21;457,81;931,18;...;403,02
"230840 Missão Velha";...;...;...;...;...;...;454,79;298,37;288,37;303,28;287,61;297,06;302,72;306,60;296,73;310,24;306,51;312,42;304,73;332,94;316,18;355,67;362,12;360,19;345,00;346,96;353,37;341,29;352,67;342,80;331,56;363,87;329,73;344,83;312,06;312,53;329,68;350,46;361,02;358,50;376,22;415,94;383,60;328,71;301,49;335,81;351,68;415,92;354,72;357,45;343,96;333,53;341,23;311,77;316,20;306,72;309,98;321,19;329,36;337,31;355,23;318,44;364,45;376,98;383,50;347,89;312,13;280,75;336,52;335,86;393,31;352,28;338,11;345,48;311,74;254,69;284,15;281,19;269,61;285,02;273,11;265,96;268,87;275,29;285,24;287,62;293,57;279,80;280,18;283,90;283,39;302,47;312,08;291,47;292,89;298,14;304,89;302,44;289,23;286,61;305,82;293,79;282,84;277,81;274,75;285,33;274,15;291,59;296,88;298,51;271,87;294,12;301,39;296,32;267,19;272,43;269,57;297,75;335,80;316,57;317,34;292,58;297,78;312,13;315,95;302,88;280,51;325,81;332,71;303,84;336,47;346,82;340,13;312,19;261,76;338,02;314,74;312,93;285,36;256,07;269,91;301,03;294,79;269,63;272,28;...;...;237,72;259,64;264,66;251,34;274,60;244,13;236,88;279,99;342,30;390,99;394,90;570,97;431,39;359,56;350,17;363,09;524,18;425,73;354,31;772,18;310,85
"230850 Mombaça";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;189,67;501,41;432,23;426,82;404,11;485,32;503,38;496,62;468,91;471,47;472,62;458,76;449,11;440,12;418,28;434,91;456,61;460,98;473,65;461,47;444,42;406,64;404,55;430,14;418,57;435,15;440,63;452,44;455,30;532,36;426,97;501,18;485,09;497,83;477,41;470,54;490,28;447,92;409,47;440,65;447,82;451,11;509,96;443,81;437,40;428,52;440,50;459,66;439,96;428,80;426,49;414,76;432,01;454,06;465,89;466,48;458,82;480,37;447,75;481,96;476,26;459,64;440,41;450,44;484,30;460,13;471,01;476,25;463,24;481,66;483,01;486,29;486,79;475,44;329,88;517,74;532,57;491,57;478,56;486,61;534,63;546,16;516,75;512,74;543,32;540,22;517,57;509,75;535,36;508,77;532,84;533,50;517,93;499,78;530,49;503,20;523,92;492,66;475,40;482,17;451,78;468,98;501,93;467,39;480,37;469,99;485,02;467,45;499,26;515,33;457,03;482,31;466,84;449,42;471,40;485,28;466,31;461,87;449,13;478,94;434,95;439,34;426,45;447,09;464,93;467,68;467,40;440,37;424,51;454,93;450,18;436,38;442,17;468,51;482,29;493,90;507,76;461,67;493,93;979,80;851,42;675,37;503,02;581,66;497,70;641,48;607,10;975,11;1161,18;486,57
