 Procedimentos hospitalares do SUS - por local de internação - Ceará
Valor total por Município e Ano/mês atendimento
Período:Jan/2008-Mar/2021
"Município";"2000/Fev";"2000/Nov";"2003/Jan";"2005/Fev";"2007/Jan";"2007/Fev";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"230710 Jardim";-;-;-;-;-;-;-;-;-;-;4231,23;12779,83;42125,79;40437,58;45705,18;67102,43;61709,22;62150,45;65045,46;49199,19;47329,83;40585,06;43656,57;37172,04;51053,20;34641,34;41520,42;49629,97;46563,18;31774,92;38635,20;55162,21;50414,50;34402,63;48642,71;51155,05;35090,14;46967,18;68088,80;51564,66;52680,87;46329,51;47098,82;57510,82;55482,34;48355,39;59841,24;42405,86;39698,73;58210,85;53731,23;70795,84;54844,31;36391,20;45033,91;44107,49;38244,54;46585,04;55413,24;37452,22;46724,00;55699,69;71880,21;46263,61;53950,92;53535,86;53413,37;62402,94;48526,29;39256,70;47390,15;35823,23;44637,84;39096,87;55999,48;58761,75;50525,21;43878,49;44137,84;44490,01;50771,43;40477,73;46851,84;33368,72;45271,12;38297,56;39725,14;34537,12;49840,77;56042,05;37859,09;54245,73;44844,90;53162,63;47458,07;39507,54;35105,94;26793,04;61335,06;54721,66;59979,30;44519,69;41422,99;27560,25;33260,79;30051,92;30372,77;26750,46;28817,39;73026,67;47463,40;61497,40;46530,52;41569,47;34632,50;45182,00;34542,43;16600,15;12309,85;8918,10;10828,55;15525,45;7436,68;3531,44;15774,89;8230,25;8199,87;8804,13;8675,59;4131,27;4786,58;5892,66;3683,72;2443,78;3268,14;6046,39;4435,20;12124,03;16176,08;8164,01;9444,27;13177,40;10372,68;9234,68;16812,20;20153,60;19186,03;22784,31;30584,43;19000,19;18684,76;18067,66;16250,14;27582,46;21756,10;26376,65;20983,25;16334,14;24222,34;14883,19;12608,52;10899,82;15007,71;20202,29;17414,76;18836,28;19059,83;22922,17;17539,42;11109,95;-;5676019,01
"230720 Jati";-;-;-;-;-;-;-;-;-;-;-;5417,31;19625,19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19106,80;11214,90;19697,30;32721,97;-;30843,12;31900,04;29866,98;28258,21;24391,32;18404,40;16909,43;17334,36;14981,17;8690,34;9811,01;8937,39;12549,58;9155,51;14684,66;10816,20;7949,19;-;1442,95;3981,70;-;1965,94;1299,60;-;2976,57;5879,27;6340,85;1490,44;7827,33;6037,34;5725,75;6263,14;3458,43;2417,63;987,24;3112,69;6666,19;4764,68;6990,99;10421,24;6483,66;3709,68;-;-;-;482,61;-;88,44;171,26;1164,84;479,19;1164,84;1164,84;768,48;-;-;-;-;-;-;-;1150,62;198,81;630,42;865,91;-;-;1469,21;-;1396,96;-;-;44,22;1244,39;3730,08;3027,43;3122,21;1500,55;52,22;2917,69;-;1745,01;1090,67;1796,82;875,60;2159,52;1790,89;1792,04;1878,68;1267,03;2695,17;1942,03;2435,63;2732,45;489,33;1136,29;1481,75;2234,08;1524,60;2635,29;4103,34;2327,52;2606,18;2124,93;2792,84;3232,52;1906,41;1665,23;1204,67;4236,94;2621,92;603,48;1529,46;1851,01;786,92;199,33;-;-;-;598,42;786,92;4659,36;4938,55;608823,74
"230725 Jijoca de Jericoacoara";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9027,96;3205,02;-;13659,52;-;-;-;7084,30;11475,94;-;-;-;44452,74
"230730 Juazeiro do Norte";-;-;-;-;-;-;-;892,74;2321,31;8781,32;43543,30;316182,38;559418,29;661534,59;657516,02;673409,29;689471,39;682746,72;661116,63;622218,45;614882,89;596769,75;621366,66;609715,71;632701,57;523439,28;790958,02;793351,43;770375,83;637737,04;724538,33;709441,78;682751,12;716275,52;802385,43;706872,49;803227,56;598640,47;763661,88;670669,49;741266,22;651801,53;652313,13;616997,64;643253,58;631191,58;607174,93;585551,10;660934,33;627334,32;656741,35;696733,20;657897,88;587524,22;594866,85;672276,46;509965,27;508325,85;555859,64;518144,25;530109,07;572627,67;552403,57;617288,17;630877,04;568400,52;551713,92;612148,83;515405,28;535523,83;393453,78;415371,82;405883,79;518023,21;601026,44;625748,19;614931,92;390004,39;371936,71;435592,28;358353,38;450085,28;390509,12;501751,83;682838,80;784701,17;942183,79;1013810,66;1119925,36;1012897,44;1063260,00;1246189,93;1027325,68;980660,94;904753,88;1007629,53;784221,66;751033,82;783544,27;860597,28;875746,98;915662,52;848584,70;891766,53;1553142,32;1534108,59;1438155,16;1574840,57;1452672,52;1240015,78;1538897,93;1445909,56;1429620,65;1361935,75;1428972,79;1482035,96;1429594,71;1370372,04;1293923,64;1203349,40;1624594,10;1565628,19;1435999,24;1519810,62;1517668,40;1548048,94;1753604,61;1635547,61;1458643,45;1478798,17;1386590,12;1187823,02;1469437,33;1263644,36;1383074,91;1337667,56;1640048,23;1488773,54;1333271,43;1638587,93;1372227,58;1506461,96;1360333,59;1215714,91;1608280,13;1551645,38;1692589,85;1714503,24;1659396,14;1688195,29;1667656,26;1673059,94;1630348,29;1808564,62;1488896,75;1654491,23;2092705,84;1838289,34;1817100,45;1423415,84;1911535,86;2122561,22;2266751,95;2165415,70;2348669,77;2432154,01;1905917,18;1623160,40;1503791,93;166441,00;3306,47;165739964,24
"230740 Jucás";-;-;-;-;-;-;-;-;577,56;319,36;50340,74;54917,89;46313,90;48814,42;49263,53;56230,90;51619,33;49856,18;41454,79;48462,95;50729,60;36820,10;59420,99;45906,50;60828,73;57373,11;70217,10;63549,83;68763,01;60588,75;38757,01;62527,89;77815,90;38732,45;32983,38;42957,70;54362,41;68925,40;65787,35;59108,37;63557,52;63097,62;53136,89;53772,80;47157,49;56711,27;59713,61;44322,24;52707,05;77348,48;64688,75;60566,61;65629,69;37912,37;46539,86;2850,84;98898,42;51678,03;47908,21;35712,71;43773,30;52433,41;43616,75;47350,21;43886,93;34819,85;29687,48;40672,42;36383,89;17857,45;22670,12;5085,80;25444,69;19816,93;17379,04;29991,94;29104,01;30181,05;24844,09;7993,62;-;16726,58;16017,70;9616,34;12746,51;14121,41;20182,61;16852,52;29054,83;23910,31;23015,87;25877,85;32845,46;18892,97;26178,80;24303,66;10357,55;14730,53;18254,00;24927,40;18635,91;19239,57;18081,03;14099,79;17973,99;11713,83;13502,08;7730,17;7482,85;5205,98;18806,60;12280,22;13140,53;11817,21;11198,68;11993,50;7324,90;12790,26;4851,24;6789,39;3230,30;9372,98;15118,35;10553,02;14763,64;2788,14;5717,47;4315,33;14028,12;11449,17;14539,31;11320,57;24086,50;20872,76;23604,52;21568,27;20504,00;16628,22;13357,94;20253,87;13853,58;15538,78;18428,37;21135,20;16568,98;22247,81;22326,43;31050,26;27965,04;28622,63;20138,18;31595,35;34178,22;23010,91;21228,95;20230,09;27634,85;28958,81;21224,92;13954,62;13253,08;18220,12;35825,10;24878,63;13938,56;21224,30;15882,65;8537,92;21267,72;30530,25;14683,39;4880707,38
"230750 Lavras da Mangabeira";-;-;-;-;-;-;-;-;-;436,38;17884,69;19085,87;18316,00;77133,13;97354,25;104701,94;93911,91;76511,90;75482,68;36329,27;60371,84;67790,31;86976,84;77416,65;80181,20;45601,35;126730,03;125563,44;102595,86;98119,84;99368,13;93942,33;91477,21;81044,36;74818,49;77008,83;83681,21;70335,12;83517,27;84839,50;103873,20;79181,84;85955,12;86459,12;101926,79;95811,44;82314,91;81172,99;98104,78;96025,86;97874,53;84394,31;63353,09;94122,21;77917,07;78624,94;78203,91;68841,81;97162,37;102184,52;78724,46;75028,57;102878,60;109901,83;82238,85;77110,22;73291,18;76714,82;85663,68;77304,01;75658,85;69581,42;85875,61;84761,94;99662,37;114421,16;105195,07;87855,48;93571,80;71478,65;73199,98;77252,52;64709,80;74614,05;85786,28;68338,65;75484,19;88614,60;106892,68;79942,36;72986,24;69175,13;68432,46;58978,29;60962,59;67469,25;74511,86;70047,30;72616,33;94161,17;86317,55;72823,35;58957,61;62678,52;70720,98;73451,73;65617,94;54644,85;59377,11;96442,46;90581,86;102835,06;88062,52;75880,71;75393,98;77278,43;63950,79;74116,55;50788,70;56813,78;68302,50;64815,30;106625,78;70023,19;72019,25;70104,80;82113,12;74716,75;72803,62;84619,28;70913,74;60602,99;67765,57;78831,53;103673,02;100001,97;106907,00;81262,09;73386,88;62421,87;66799,93;72494,67;62271,29;79732,16;75384,64;69322,82;76690,86;80270,78;87268,18;55890,99;70611,44;69146,02;74855,57;60913,19;58492,72;64496,32;64513,91;69196,07;63117,28;35627,92;44114,30;33175,73;57932,78;42330,48;44613,90;76551,92;56555,48;50380,73;57270,13;44977,49;53962,21;12260733,58
"230760 Limoeiro do Norte";-;-;-;-;-;-;-;1284,86;578,69;410,68;164,07;15868,66;184070,29;169230,46;176500,35;185945,52;198529,87;166543,38;141898,01;129146,79;134931,06;138212,50;157315,81;161988,63;178637,95;146494,43;144063,14;154169,61;176144,71;143996,89;136608,39;149149,78;143221,81;150411,50;175830,54;144184,94;155796,25;144767,07;159630,17;156309,29;219440,56;191285,08;168075,16;165459,73;174949,13;160913,68;137575,93;159590,58;164599,50;178917,91;181360,48;213230,89;182830,80;199404,58;193160,18;218605,72;172682,90;175777,29;155731,57;166246,44;169339,80;166649,45;196321,16;212849,53;188994,46;163156,91;191307,49;210320,66;195765,71;227541,54;189645,75;182615,74;229083,29;210551,72;248450,19;271691,26;286079,86;237261,27;238306,70;211568,54;186002,64;160657,33;179581,82;204331,17;223190,20;198613,32;228582,57;225345,80;224883,35;206965,29;175336,09;146123,47;164120,11;151250,09;128777,33;110846,20;115522,68;112597,13;149875,88;163040,81;142734,13;134604,40;122206,81;135424,49;133839,59;116921,48;100077,86;125490,89;121864,65;133513,46;130018,67;121045,34;127533,40;137295,04;123490,31;126478,49;119428,64;116412,22;119894,83;115356,19;117082,21;114726,86;145410,71;163638,83;187152,97;145195,35;132675,72;160168,55;140894,52;169035,37;158447,79;156030,33;161246,00;148382,56;214214,45;189044,69;201877,20;192684,45;183804,15;171576,50;161209,14;182478,22;189944,43;214977,18;198339,23;217165,29;265748,83;218937,73;227679,82;190968,70;192995,13;218415,78;225793,85;208082,08;212529,32;186850,62;195819,43;216846,30;208427,85;197281,71;256012,81;275659,12;316177,32;531433,61;392491,99;294457,24;487675,29;453037,31;14220,60;596299,04;528342,29;29718235,88
"230763 Madalena";-;-;-;-;-;-;-;-;-;-;-;2175,45;2095,45;1233,27;2466,54;2973,23;4431,70;3288,72;4521,99;2466,54;822,18;3695,29;1644,36;2708,40;2257,00;3611,20;4062,60;4849,52;7348,16;3611,20;4441,68;3322,30;6160,82;4062,60;4514,00;2388,02;3159,80;2257,00;5416,80;4645,02;4062,60;1354,20;2600,92;7189,54;3881,64;5908,13;3611,20;4392,02;3187,59;6520,56;5650,02;7089,40;10067,89;9434,79;15445,15;20288,15;14782,19;13004,47;12475,75;14421,93;10853,19;8212,65;12974,41;11870,10;8554,03;7636,28;8020,92;7939,36;8727,40;7871,70;5552,34;4711,91;4949,93;5552,25;9440,15;9086,89;10965,28;5312,23;6269,46;10069,68;9035,75;6781,57;3879,73;3391,06;4702,63;6673,50;8584,71;13740,90;12066,78;5929,82;2233,76;4465,82;2532,21;4393,87;3801,82;4121,37;7167,92;3011,85;15174,17;12573,46;8255,60;5626,36;8749,15;9607,78;4560,98;5448,40;2119,84;4015,34;3462,87;6100,16;7914,15;2268,86;4043,67;4158,46;4893,18;2313,81;451,40;2916,76;3556,06;2063,43;1810,12;2610,01;1970,53;1351,99;2223,97;3486,22;3380,28;287,76;2601,49;2056,72;1176,97;1519,13;2257,00;2482,15;1316,32;1731,46;2075,98;4529,87;4794,01;5303,80;2214,60;5492,60;4146,05;3295,60;2686,35;3211,23;1903,38;2349,65;7192,13;1966,12;6596,45;4291,52;4527,71;5795,68;4969,26;5498,30;6211,42;9438,87;8394,06;8821,99;8615,20;4446,44;23041,51;7316,29;4908,26;5710,61;4912,26;-;-;-;-;864277,42
"230765 Maracanaú";-;-;-;-;-;-;-;18697,73;20101,16;44943,78;61069,63;97364,75;388160,97;336439,62;407299,73;456539,11;473678,84;462903,86;460815,83;442225,00;498795,51;495977,21;457627,48;476899,56;456638,88;417839,62;550187,03;554927,78;513439,09;504712,81;548243,80;553976,04;467156,02;474922,60;486985,25;471512,52;461464,17;406976,83;495251,43;492303,22;470711,08;500856,10;488862,59;507545,73;517571,52;492691,50;430065,40;415756,11;457910,99;423303,15;541510,98;515507,04;560132,36;490762,68;543126,73;475348,91;474468,83;504426,61;479002,10;435225,26;464913,35;394636,85;505761,80;490704,54;468219,16;466354,44;466973,43;514389,42;432618,33;433683,58;396366,75;420157,37;461801,19;456915,46;468936,52;525888,23;537340,52;460336,71;549921,42;603286,99;586690,23;535498,76;520381,28;527303,70;556823,37;518271,68;596548,63;560820,61;575316,90;660080,30;616860,82;642816,09;697680,89;725936,87;692475,62;790987,28;670726,89;725525,00;862092,53;776546,66;759784,02;813846,94;919201,24;880408,92;730056,94;1133086,80;830801,06;758176,66;779779,98;644119,95;605554,10;687187,76;753819,36;674002,98;695997,44;665437,45;682097,93;837745,49;748113,54;769456,95;613744,22;637166,90;662763,24;621701,10;608181,57;619801,47;759785,34;815799,57;855926,19;910522,78;752955,41;621789,84;710841,72;539416,69;664207,83;742780,63;861448,00;771057,02;849197,72;909274,54;747253,97;749264,95;674345,09;557669,08;653416,34;750579,41;764873,53;833990,09;845999,11;866285,37;845697,39;861478,13;849685,70;951555,57;853121,75;808714,55;869950,72;789561,39;622672,33;473380,92;768963,33;945744,89;1111239,09;923773,88;1089773,50;1161317,27;997373,85;936324,75;870900,83;736955,36;-;100348352,13
"230770 Maranguape";-;-;-;-;-;-;-;-;-;15729,60;33318,70;35988,83;112928,28;109792,26;95757,05;121803,07;104296,30;106737,48;92925,21;97514,11;95081,76;93846,09;71475,20;52686,67;81303,02;67446,30;101042,88;90886,98;91353,11;99504,72;80944,12;117279,90;127518,17;108563,87;104247,44;82912,99;103921,38;91976,06;119009,61;121559,65;123594,51;114816,99;106199,62;113714,43;90329,53;98917,13;104389,88;101428,08;110147,83;111664,73;116893,85;122858,35;151726,22;112873,19;118198,56;92976,13;100898,52;116707,67;91491,71;80922,51;92215,56;99323,65;108315,16;91611,25;104293,43;116688,26;122136,62;119180,44;138158,17;108122,66;103905,30;67098,82;140351,53;114459,09;127322,23;147075,79;132254,23;118732,66;120694,87;115674,79;109635,60;118612,83;116168,08;87714,49;111138,07;122076,11;116225,00;124460,68;129091,92;136703,17;126815,79;101089,32;103165,47;99431,08;81039,08;63201,48;67237,83;70310,54;86321,34;94361,28;87919,99;99611,18;75034,94;78914,78;79803,88;84592,14;88545,59;77246,60;88003,50;85625,61;108787,26;107346,95;101005,59;109992,02;102306,50;117144,05;108484,28;76826,98;45008,72;42537,50;61575,51;71581,88;93256,31;88054,00;105824,77;105879,35;99447,79;95594,91;80907,38;73403,55;70398,13;89791,60;81942,82;73441,97;94097,50;83091,98;88118,04;76627,60;73605,82;98534,00;72694,45;87377,76;72647,20;71934,08;88309,48;80243,46;80660,07;82961,73;67784,43;60058,50;76372,82;66415,17;76102,17;73898,71;71346,26;67046,31;70114,19;59614,77;62927,30;54232,73;148530,66;122121,87;69107,04;65362,14;71844,28;86747,78;74500,34;48331,10;179338,11;291958,67;397929,31;15830939,78
"230780 Marco";-;-;-;-;-;-;-;-;-;-;-;-;32914,69;26609,35;40450,00;27346,98;33839,09;28135,04;28814,19;26712,86;35079,58;22640,27;8893,88;13153,00;23005,58;20319,59;40333,25;45838,64;39278,20;37013,29;33251,40;34232,65;34516,51;29797,71;33944,52;27810,93;29308,29;24453,67;18252,86;23019,35;23350,62;22584,48;23954,26;23149,86;26379,95;24895,20;17735,79;22188,53;25113,41;30162,61;36173,67;28806,62;26359,24;14463,29;8485,26;25022,10;21996,74;23450,79;16086,57;9589,86;18328,39;19146,04;17923,86;23647,50;20623,78;19753,47;17142,63;20180,14;17922,21;21553,80;13180,17;6145,81;12857,79;9471,16;14817,08;10529,65;12529,54;9231,79;3383,80;5629,07;2788,40;7897,80;9400,37;11137,49;12305,04;9303,49;10939,34;11099,51;1362,20;10259,25;11463,08;8309,70;9754,37;10430,95;8256,29;9155,52;10113,87;12814,75;10426,03;18362,64;20676,58;10382,08;14891,61;10042,70;7465,30;10528,65;9714,88;9939,29;9744,04;11125,53;7683,53;11279,93;9058,86;9307,68;8781,42;9823,53;7952,99;7799,12;8822,36;2516,00;15233,64;16859,80;22402,62;16797,08;14900,08;16375,68;15069,09;15402,52;10542,57;13671,62;10902,62;13609,92;14183,66;12043,75;4586,06;12748,82;18562,87;14961,93;16622,99;18071,57;17708,66;16127,54;15694,81;17064,68;18564,18;16462,63;22338,88;15287,82;20485,24;19116,70;19760,34;12066,70;21549,31;21140,84;13170,34;16611,81;12552,11;22205,63;16804,25;17265,57;43686,81;30483,07;30450,11;34952,43;22790,58;17185,00;14918,86;20688,23;25699,42;21698,43;-;2864107,94
"230790 Martinópole";-;-;-;-;-;-;-;-;-;-;436,74;4531,75;15670,42;18294,66;9537,80;13251,59;12292,76;9560,71;10100,28;7000,83;10543,32;6605,68;5483,43;10032,90;11035,12;10549,39;9353,86;7037,28;3280,48;6401,88;6772,94;3160,03;4432,94;2930,48;8314,66;-;2564,21;3585,82;3772,99;3401,43;5060,46;4200,01;2816,69;3333,20;4995,87;1962,56;3282,92;6789,05;3902,20;5730,71;10220,69;5606,82;5878,88;4002,69;6502,08;5837,72;4536,45;5126,62;5971,10;3588,58;5095,75;-;6177,08;4582,67;10927,31;5194,44;3688,94;4207,70;2263,14;-;-;-;3395,43;7019,43;8656,36;-;-;1513,13;218,68;-;-;-;-;-;-;-;-;-;-;-;-;789,74;15787,75;7303,35;7904,48;2323,86;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1996,75;1303,22;1355,30;706,30;768,30;1244,27;1162,96;765,08;3011,43;1477,75;1460,28;1861,63;540,36;828,28;662,08;886,80;886,80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;437248,51
"230800 Massapê";-;-;-;-;-;-;-;-;-;-;453,09;1285,25;32046,93;32061,75;32505,34;22271,63;27165,89;18581,59;21823,41;18275,14;19897,13;12854,04;13138,79;17057,94;19117,52;22878,97;35704,23;34693,61;31916,06;26300,11;23675,31;32843,46;27093,62;24999,32;18876,37;18687,84;17883,98;18759,92;17916,44;18351,47;18169,89;16055,93;17411,54;13128,07;15960,82;21865,83;15141,35;13971,66;13401,95;29476,94;33681,24;19295,24;12157,97;11494,60;8452,82;14108,49;12669,61;12982,93;11535,59;7528,87;9858,06;5946,24;13879,58;19600,01;22956,84;10834,90;8676,24;4821,87;2101,30;-;493,40;-;292,62;-;347,15;204,50;-;-;-;-;-;-;-;-;-;-;-;1633,62;10995,96;9762,97;10783,73;8483,34;10170,00;8315,63;4000,57;4440,57;3931,50;3426,64;8349,17;13800,52;14178,84;5479,81;6767,46;9944,33;18634,91;19901,40;16062,17;12588,85;13774,54;20110,61;21377,40;25506,92;22795,53;13164,43;15200,73;14497,16;8481,55;8204,62;2960,30;1263,30;5005,34;14874,07;14780,75;17349,94;11873,01;12830,83;6686,38;13907,03;7893,04;12727,66;7684,60;15050,00;14954,41;13967,77;4336,82;6525,85;7895,70;20457,02;13969,31;9436,47;9167,84;8873,65;5436,57;9558,19;9658,51;11194,11;15789,73;20136,47;14667,18;18134,87;15756,86;5172,36;13820,81;8504,27;7642,51;5784,46;15543,89;5553,14;11582,66;10929,30;25289,62;27104,89;8371,07;9366,43;9603,35;18574,95;22222,95;7751,74;19764,26;7261,52;-;2057033,44
"230810 Mauriti";-;-;-;-;-;-;-;-;-;-;-;3112,73;70048,09;66817,54;75130,90;92252,44;87160,96;62235,46;67622,06;61707,86;59176,96;53766,46;60653,96;77700,52;59952,24;63954,87;83620,84;72686,44;91261,50;83796,78;89687,38;98764,97;87620,95;87838,10;81610,64;69319,26;61418,65;88441,32;91602,97;81601,46;80815,15;64155,72;74668,58;82375,41;74156,63;81753,07;83827,23;83072,75;80533,85;78789,67;95887,67;86868,99;78473,23;75090,93;77714,25;81876,65;84384,09;78371,33;77807,73;63332,29;81220,93;79316,53;80544,23;87425,96;74615,82;74038,39;84120,15;73861,71;81630,27;75436,35;87866,64;62064,02;68167,29;60155,98;76065,20;71137,91;76291,38;61747,86;65343,14;63343,05;69010,51;71055,95;67402,91;47269,14;60872,56;51395,54;74421,71;78900,92;71857,65;52525,63;55910,51;60757,61;57062,17;59215,10;37872,91;23560,53;59585,38;47617,02;58756,55;73089,91;73769,05;62314,47;50066,47;53246,05;57413,60;34206,06;33561,94;29613,40;33047,42;38249,18;40143,87;61252,12;54991,67;62306,74;44025,05;46762,55;39169,06;18399,22;20781,43;7357,83;23571,13;31481,66;55980,23;45663,93;54638,74;56165,76;31966,87;34292,78;34076,28;48688,74;43819,92;31820,24;35413,04;33643,37;53558,97;54371,43;50456,62;50068,55;47768,96;46623,60;59987,02;53218,94;55382,24;38465,45;49071,78;51094,64;46075,23;53345,79;65180,17;56171,69;61818,10;77680,41;58784,05;71359,67;53597,48;37831,90;59983,03;55614,11;36978,69;37909,14;33771,86;33496,21;45389,01;64340,23;45252,03;63583,80;32999,85;27383,86;26379,44;44046,49;54162,41;9652155,27
"230820 Meruoca";-;-;-;-;-;-;-;-;-;241,67;-;2328,33;11045,00;12445,24;9590,91;13362,71;5572,29;6992,61;4678,60;4561,96;8607,98;7916,99;2948,42;10042,80;7302,47;6745,05;13271,34;19332,50;8390,24;2048,00;5203,56;5063,83;9852,49;7752,59;4729,22;3534,56;10860,51;6309,36;6442,39;4366,73;8352,50;4663,76;5130,45;9512,61;4141,15;4833,91;3100,60;4299,40;7006,62;9851,25;12280,98;7579,43;8713,10;6559,98;5309,99;6062,56;3230,54;5387,55;4727,87;2771,27;7151,33;4703,88;6316,40;3839,55;4672,13;2672,75;2164,24;1275,99;3757,25;4069,80;1116,65;1398,10;582,42;590,42;3946,50;10930,13;4385,01;4016,29;3914,62;2014,02;1818,05;3397,57;3246,22;533,83;2455,79;4100,29;1682,11;2756,06;5477,01;4330,39;3967,90;3754,18;701,62;2159,24;1855,39;2694,52;2013,85;3332,43;1832,10;5142,05;3216,80;4967,03;3902,34;4439,33;3920,50;1634,24;2455,05;2952,47;6061,69;7340,44;4096,20;4348,15;3305,84;3265,68;1830,08;2477,15;3680,73;1337,88;234,68;324,62;1410,50;6149,12;4319,02;6478,85;5534,58;3465,90;3818,69;2083,76;3708,00;4417,28;3437,63;2917,50;6225,93;5007,78;2409,68;6684,58;5927,00;2325,27;1847,22;2462,65;4843,36;344,68;3446,26;1670,50;1107,02;2417,72;-;2170,12;2195,45;5625,04;3053,07;2433,30;2442,54;2107,98;2632,74;3675,43;2401,68;3242,66;4057,51;2860,71;2566,67;8446,09;2825,02;2879,09;4947,94;3886,37;3390,24;1447,29;2651,46;-;-;708013,73
"230830 Milagres";-;-;-;-;-;-;-;-;-;-;467,78;1319,59;27347,39;42218,75;36993,67;40844,43;29826,64;36494,39;33443,34;26021,82;39275,29;28299,01;37807,28;41244,87;44206,08;40537,08;37265,77;25413,56;18447,62;16868,74;26924,61;25012,14;24596,28;27980,71;24980,24;16271,31;19257,96;21576,48;17434,26;25144,93;22299,38;15846,64;21883,30;22231,61;27370,97;21159,33;19646,12;18720,71;25564,41;23691,07;29828,78;35890,85;30442,19;20377,68;25684,61;20402,05;17503,43;13792,16;18053,17;12744,09;22523,17;22195,34;13227,07;16696,83;22122,01;15459,43;13526,72;21495,88;11629,08;13617,38;14215,50;12345,26;11194,64;14930,49;12687,10;24008,47;21780,63;21890,89;17165,73;11427,86;20351,19;17892,88;14281,97;14099,19;23526,26;19886,19;16234,85;21286,20;27121,85;16295,24;15889,56;20639,87;17002,23;17734,19;14114,47;14975,58;13217,31;11537,30;9745,65;15871,82;20729,46;16100,91;17359,83;16380,60;7857,52;11445,81;8740,58;5485,04;6408,38;12774,69;16969,62;19320,48;19799,75;15092,59;11350,41;12281,33;15505,18;5289,52;5237,40;1124,20;10435,30;12488,72;23730,96;14035,11;5326,79;10226,53;9527,65;22666,23;16866,20;15750,07;14750,34;15910,59;11832,36;10742,09;20232,55;17977,21;20741,05;21361,25;19162,45;17226,28;10597,78;22373,70;17984,70;12520,18;22578,21;16431,16;21072,95;20992,99;23563,85;12937,02;17264,03;25404,29;25322,11;19920,86;19060,89;15732,85;22567,02;15308,29;15362,27;13061,18;15044,66;10805,23;11576,73;10847,16;10993,30;11445,42;11162,40;4926,89;17562,88;19194,97;36627,83;3038984,68
